Timestamp,Temperature,Temperature_setpoint,Temperature_error,Temperature_PID_output,Temperature_Kp,Temperature_Ki,Temperature_Kd,Timestamp (s),Diameter,Diameter_setpoint,Fan_duty_cycle,Extruder_RPM,Spooler_setpoint,Spooler_RPM,Spooler_Kp,Spooler_Ki,Spooler_Kd
101.341,88.2935584,90,2.56487294,8.246047313,2,0.001,0.05,1743096708,0,0.35,30,0.1,30,29.85025315,0.8,0.25,0.04
101.629,88.42196309,90,2.385773612,7.897131286,2,0.001,0.05,1743096708,0,0.35,30,0.1,30,29.49213416,0.8,0.25,0.04
101.917,87.90893692,90,2.321861044,7.789853161,2,0.001,0.05,1743096708,0,0.35,30,0.1,30,30.92696901,0.8,0.25,0.04
102.208,88.55046837,90,2.765987294,8.76643554,2,0.001,0.05,1743096709,0,0.35,30,0.1,30,30.019937,0.8,0.25,0.04
102.498,88.93659882,90,2.612072453,8.356432407,2,0.001,0.05,1743096709,0,0.35,30,0.1,30,31.16645208,0.8,0.25,0.04
102.813,88.67907535,90,2.483909959,8.107086437,2,0.001,0.05,1743096709,0,0.35,30,0.1,30,31.07201949,0.8,0.25,0.04
103.1,88.93659882,90,1.526332236,6.045928541,2,0.001,0.05,1743096709,0,0.35,30,0.1,30,29.05542921,0.8,0.25,0.04
103.402,89.45493514,90,1.43588556,6.017262919,2,0.001,0.05,1743096709,0,0.35,30,0.1,30,28.71657899,0.8,0.25,0.04
103.702,86.37683662,90,1.601906538,6.392417077,2,0.001,0.05,1743096710,0,0.35,30,0.1,30,29.49452477,0.8,0.25,0.04
104.005,89.45493514,90,1.498609334,6.141574899,2,0.001,0.05,1743096710,0,0.35,30,0.1,30,29.04204691,0.8,0.25,0.04
104.302,89.45493514,90,1.38247166,5.907180288,2,0.001,0.05,1743096710,0,0.35,30,0.1,30,29.70771274,0.8,0.25,0.04
104.61,89.45493514,90,1.279174455,5.703773343,2,0.001,0.05,1743096710,0,0.35,30,0.1,30,31.61660448,0.8,0.25,0.04
104.903,89.45493514,90,1.124574634,5.385304099,2,0.001,0.05,1743096710,0,0.35,30,0.1,30,32.47040288,0.8,0.25,0.04
105.209,89.58428681,90,1.02119279,5.188337115,2,0.001,0.05,1743096711,0,0.35,30,0.1,30,30.76489429,0.8,0.25,0.04
105.504,89.45493514,90,0.969359159,5.093068964,2,0.001,0.05,1743096711,0,0.35,30,0.1,30,29.68908227,0.8,0.25,0.04
105.81,89.97301024,90,0.83996567,4.822173428,2,0.001,0.05,1743096711,0,0.35,30,0.1,30,29.64202868,0.8,0.25,0.04
106.114,87.65300555,90,0.968324997,5.121407306,2,0.001,0.05,1743096711,0,0.35,30,0.1,30,28.8569729,0.8,0.25,0.04
106.412,89.84332322,90,0.929486188,5.016404083,2,0.001,0.05,1743096711,0,0.35,30,0.1,30,31.21564807,0.8,0.25,0.04
106.692,89.71374913,90,0.595794938,4.296180824,2,0.001,0.05,1743096712,0,0.35,30,0.1,30,30.54011722,0.8,0.25,0.04
106.986,90.88407746,90,0.452880706,4.045709378,2,0.001,0.05,1743096712,0,0.35,30,0.1,30,29.94390316,0.8,0.25,0.04
107.271,89.84332322,90,0.414041897,3.985640012,2,0.001,0.05,1743096712,0,0.35,30,0.1,30,29.88558158,0.8,0.25,0.04
107.558,89.84332322,90,0.375203088,3.908137284,2,0.001,0.05,1743096712,0,0.35,30,0.1,30,27.72860687,0.8,0.25,0.04
107.825,89.97301024,90,0.323395578,3.801649383,2,0.001,0.05,1743096712,0,0.35,30,0.1,30,29.79854944,0.8,0.25,0.04
108.089,89.71374913,90,0.310449346,3.783102518,2,0.001,0.05,1743096713,0,0.35,30,0.1,30,29.3056411,0.8,0.25,0.04
108.368,89.97301024,90,0.258641836,3.672736822,2,0.001,0.05,1743096713,0,0.35,30,0.1,30,32.32794442,0.8,0.25,0.04
108.649,89.32569298,90,0.323373562,3.823084529,2,0.001,0.05,1743096713,0,0.35,30,0.1,30,32.46144422,0.8,0.25,0.04
108.924,90.49291037,90,0.039383079,3.191973234,2,0.001,0.05,1743096713,0,0.35,30,0.1,30,31.90241627,0.8,0.25,0.04
109.205,90.10281131,90,0.01343427,3.187081959,2,0.001,0.05,1743096713,0,0.35,30,0.1,30,30.73715965,0.8,0.25,0.04
109.48,90.23272759,90,-0.038463576,3.078442364,2,0.001,0.05,1743096714,0,0.35,30,0.1,30,28.20062833,0.8,0.25,0.04
109.771,90.49291037,90,0.000653133,3.172844843,2,0.001,0.05,1743096714,0,0.35,30,0.1,30,29.35073941,0.8,0.25,0.04
110.052,84.10168655,90,0.5748168,4.416715351,2,0.001,0.05,1743096714,0,0.35,30,0.1,30,30.30228535,0.8,0.25,0.04
110.333,90.10281131,90,0.548867991,4.258246388,2,0.001,0.05,1743096714,0,0.35,30,0.1,30,31.70134745,0.8,0.25,0.04
110.609,92.72665048,90,0.273503967,3.662317194,2,0.001,0.05,1743096714,0,0.35,30,0.1,30,28.33964399,0.8,0.25,0.04
110.886,90.36276023,90,0.208602857,3.570798922,2,0.001,0.05,1743096715,0,0.35,30,0.1,30,27.44715596,0.8,0.25,0.04
111.175,90.36276023,90,0.169627858,3.497814081,2,0.001,0.05,1743096715,0,0.35,30,0.1,30,32.08228161,0.8,0.25,0.04
111.457,88.55046837,90,0.247150318,3.673432482,2,0.001,0.05,1743096715,0,0.35,30,0.1,30,26.95334681,0.8,0.25,0.04
111.743,90.62317918,90,0.234123437,3.63142605,2,0.001,0.05,1743096715,0,0.35,30,0.1,30,27.64207059,0.8,0.25,0.04
112.024,91.67179414,90,0.077225155,3.292045591,2,0.001,0.05,1743096715,0,0.35,30,0.1,30,30.60049391,0.8,0.25,0.04
112.31,89.97301024,90,0.10319689,3.376441601,2,0.001,0.05,1743096716,0,0.35,30,0.1,30,31.3985077,0.8,0.25,0.04
112.585,90.23272759,90,0.129215168,3.428705852,2,0.001,0.05,1743096716,0,0.35,30,0.1,30,32.11199873,0.8,0.25,0.04
112.859,90.62317918,90,-0.522934095,2.000599486,2,0.001,0.05,1743096716,0,0.35,30,0.1,30,32.10060516,0.8,0.25,0.04
113.135,90.88407746,90,-0.601060709,1.948949678,2,0.001,0.05,1743096716,0,0.35,30,0.1,30,30.01205411,0.8,0.2,0.04
113.405,90.23272759,90,-0.35166842,2.507959058,2,0.001,0.05,1743096716,0,0.35,30,0.1,30,24.45695001,0.8,0.2,0.04
